Timestamp;my-wallet-n-users
01/08/2017;15682554
04/08/2017;15743386
07/08/2017;15808339
10/08/2017;15885221
13/08/2017;15967771
17/08/2017;16063996
20/08/2017;16150740
23/08/2017;16242952
25/08/2017;16302251
28/08/2017;16384384
31/08/2017;16483747
03/09/2017;16566599
06/09/2017;16660188
09/09/2017;16751705
12/09/2017;16817240
14/09/2017;16870043
22/09/2017;17060070
25/09/2017;17127302
27/09/2017;17191431
29/09/2017;17226168
02/10/2017;17300066
05/10/2017;17348766
08/10/2017;17417054
10/10/2017;17478003
13/10/2017;17555548
16/10/2017;17659090
19/10/2017;17762488
22/10/2017;17882627
25/10/2017;17973590
28/10/2017;18066019
31/10/2017;18187328
03/11/2017;18325695
06/11/2017;18435363
09/11/2017;18557651
12/11/2017;18648418
15/11/2017;18741746
18/11/2017;18850175
20/11/2017;18937477
24/11/2017;19057175
27/11/2017;19165854
30/11/2017;19390594
03/12/2017;19577406
05/12/2017;19720581
08/12/2017;19971574
11/12/2017;20213998
14/12/2017;20465954
17/12/2017;20693380
20/12/2017;20929232
23/12/2017;21127708
26/12/2017;21272882
29/12/2017;21420747
01/01/2018;21529173
04/01/2018;21689808
08/01/2018;21843667
11/01/2018;22002952
13/01/2018;22109365
16/01/2018;22235160
20/01/2018;22359417
22/01/2018;22448486
25/01/2018;22526904
28/01/2018;22619304
31/01/2018;22718257
04/02/2018;22804131
07/02/2018;22883357
10/02/2018;22958829
13/02/2018;23030098
16/02/2018;23091888
19/02/2018;23163122
22/02/2018;23239524
25/02/2018;23304446
01/03/2018;23374674
04/03/2018;23439414
07/03/2018;23508832
10/03/2018;23570802
14/03/2018;23628176
17/03/2018;23694001
20/03/2018;23750641
23/03/2018;23801373
26/03/2018;23855295
29/03/2018;23913646
01/04/2018;23967625
04/04/2018;24019181
08/04/2018;24069870
11/04/2018;24118868
14/04/2018;24166869
17/04/2018;24218267
20/04/2018;24272686
23/04/2018;24325628
26/04/2018;24387017
03/05/2018;24541017
06/05/2018;24600940
10/05/2018;24657976
13/05/2018;24712314
16/05/2018;24766914
19/05/2018;24824087
23/05/2018;24880041
25/05/2018;24931342
29/05/2018;24983131
01/06/2018;25051663
04/06/2018;25116579
07/06/2018;25182779
11/06/2018;25236934
14/06/2018;25294827
17/06/2018;25349936
20/06/2018;25406196
23/06/2018;25499161
26/06/2018;25589173
29/06/2018;25716118
02/07/2018;25817295
05/07/2018;25950657
09/07/2018;26075111
12/07/2018;26171813
15/07/2018;26258594
18/07/2018;26363349
21/07/2018;26489365
24/07/2018;26651425
27/07/2018;26803987
31/07/2018;26928457
03/08/2018;27090427
06/08/2018;27297903
;
;
09/08/2018;27463785
;
;
;
;
;
12/08/2018;27599581
;
;
;
;
;
;
15/08/2018;27707212
;
;
;
;
;
;
18/08/2018;27802018
;
;
;
;
;
21/08/2018;27870705
;
;
;
;
;
24/08/2018;27923509
;
;
;
;
;
;
27/08/2018;27992612
;
;
;
;
;
30/08/2018;28062644
;
;
;
;
;
;
02/09/2018;28146023
;
;
;
;
;
;
05/09/2018;28232017
;
;
;
;
;
08/09/2018;28300934
;
;
;
;
;
;
11/09/2018;28369956
;
;
;
;
;
14/09/2018;28439421
;
;
;
;
;
;
17/09/2018;28520029
;
;
;
;
;
20/09/2018;28606677
;
;
;
;
;
;
23/09/2018;28688022
;
;
;
;
;
26/09/2018;28754595
;
;
;
;
;
;
29/09/2018;28839193
;
;
;
;
;
02/10/2018;28923372
;
;
;
;
;
;
05/10/2018;28999266
;
;
;
;
;
;
08/10/2018;29098348
;
;
;
;
;
11/10/2018;29167077
;
;
;
;
;
;
14/10/2018;29246365
;
;
;
;
;
17/10/2018;29329975
;
;
;
;
;
;
20/10/2018;29423487
;
;
;
;
;
23/10/2018;29503695
;
;
;
;
;
;
26/10/2018;29603039
;
;
;
;
;
29/10/2018;29680311
;
;
;
;
;
;
01/11/2018;29781644
;
;
;
;
;
;
04/11/2018;29880952
;
;
;
;
;
07/11/2018;29973383
;
;
;
;
;
;
10/11/2018;30186893
;
;
;
;
;
13/11/2018;30340381
;
;
;
;
;
;
16/11/2018;30530642
;
;
;
;
;
19/11/2018;30638824
;
;
;
;
;
;
22/11/2018;30821283
;
;
;
;
;
25/11/2018;30936912
;
;
;
;
;
;
28/11/2018;31069280
;
;
;
;
;
01/12/2018;31142207
;
;
;
;
;
;
04/12/2018;31223187
;
;
;
;
;
;
07/12/2018;31316137
;
;
;
;
;
10/12/2018;31378935
;
;
;
;
;
;
13/12/2018;31457856
;
;
;
;
;
16/12/2018;31534331
;
;
;
;
;
;
19/12/2018;31618557
;
;
;
;
;
22/12/2018;31669932
;
;
;
;
;
;
25/12/2018;31753828
;
;
;
;
;
28/12/2018;31828699
;
;
;
;
;
;
31/12/2018;31894081
;
;
;
;
;
03/01/2019;31955907
;
;
;
;
;
;
06/01/2019;32131361
;
;
;
;
;
;
09/01/2019;32205068
;
;
;
;
;
12/01/2019;32274243
;
;
;
;
;
;
15/01/2019;32361063
;
;
;
;
;
18/01/2019;32469793
;
;
;
;
;
;
21/01/2019;32558596
